IDX	STEP	WORK	TIME	  LOOP	ALARM	Cur	Vol	Cap	Tmp	v1	v2	v3	v4	v5	v6	v7	v8	v9	v10	v11	v12	v13	v14	v15	v16	v17	v18	v19	v20	v21	v22	v23	v24
60	2	44	00:08:11  1	80	-6.00	204.80	0.82	0.00	11.484	11.478	11.454	11.460	11.464	11.478	11.500	11.494	11.474	11.475	11.465	11.463	11.467	11.486	11.475	11.471	11.468	11.377	0.009	0.004	0.005	0.008	0.006	0.007	
61	2	44	00:08:20  1	80	-6.00	204.80	0.83	0.00	11.481	11.472	11.450	11.454	11.462	11.477	11.494	11.491	11.472	11.471	11.464	11.463	11.463	11.483	11.474	11.471	11.466	11.375	0.007	0.007	0.007	0.007	0.004	0.005	
62	2	44	00:08:31  1	80	-6.00	204.70	0.85	0.00	11.478	11.469	11.448	11.453	11.452	11.472	11.495	11.486	11.465	11.469	11.460	11.455	11.464	11.479	11.471	11.466	11.468	11.371	0.007	0.004	0.006	0.007	0.005	0.006	
63	2	44	00:08:41  1	80	-6.00	204.60	0.87	0.00	11.469	11.466	11.448	11.450	11.447	11.469	11.492	11.482	11.460	11.469	11.457	11.453	11.458	11.478	11.462	11.461	11.465	11.366	0.005	0.008	0.006	0.004	0.006	0.008	
64	2	44	00:08:50  1	80	-6.00	204.50	0.88	0.00	11.466	11.461	11.445	11.443	11.445	11.469	11.489	11.474	11.459	11.467	11.450	11.446	11.461	11.471	11.454	11.462	11.463	11.358	0.007	0.009	0.003	0.004	0.009	0.008	
65	2	44	00:09:01  1	80	-6.00	204.40	0.90	0.00	11.464	11.463	11.436	11.438	11.446	11.462	11.480	11.477	11.460	11.454	11.447	11.450	11.449	11.466	11.458	11.455	11.451	11.357	0.010	0.008	0.003	0.008	0.007	0.005	
66	2	44	00:09:11  1	80	-6.00	204.40	0.92	0.00	11.455	11.460	11.436	11.429	11.439	11.463	11.473	11.467	11.454	11.460	11.439	11.440	11.453	11.462	11.448	11.457	11.452	11.349	0.010	0.010	0.003	0.006	0.010	0.006	
67	2	44	00:09:20  1	80	-6.00	204.30	0.93	0.00	11.459	11.450	11.429	11.431	11.433	11.454	11.474	11.469	11.450	11.448	11.441	11.441	11.442	11.460	11.451	11.448	11.445	11.350	0.007	0.007	0.006	0.005	0.005	0.008	
68	2	44	00:09:31  1	80	-6.00	204.30	0.95	0.00	11.450	11.453	11.427	11.422	11.434	11.456	11.464	11.461	11.451	11.446	11.433	11.438	11.441	11.450	11.445	11.448	11.438	11.346	0.009	0.011	0.001	0.006	0.009	0.006	
69	2	44	00:09:41  1	80	-6.00	204.20	0.97	0.00	11.448	11.443	11.424	11.424	11.422	11.451	11.470	11.461	11.440	11.444	11.434	11.428	11.437	11.455	11.440	11.439	11.440	11.344	0.006	0.008	0.008	0.006	0.005	0.008	
70	2	44	00:09:50  1	80	-6.00	204.10	0.98	0.00	11.446	11.439	11.422	11.423	11.421	11.448	11.467	11.453	11.435	11.443	11.427	11.423	11.436	11.451	11.431	11.439	11.439	11.338	0.006	0.007	0.007	0.006	0.005	0.010	
71	2	44	00:10:01  1	80	-6.00	204.10	1.00	0.00	11.438	11.437	11.418	11.416	11.416	11.445	11.462	11.446	11.435	11.439	11.424	11.419	11.433	11.447	11.430	11.435	11.436	11.331	0.006	0.010	0.005	0.003	0.008	0.008	
72	2	44	00:10:11  1	80	-6.00	204.00	1.02	0.00	11.435	11.433	11.415	11.410	11.412	11.442	11.460	11.443	11.433	11.436	11.415	11.417	11.431	11.439	11.424	11.436	11.430	11.325	0.008	0.012	0.002	0.005	0.008	0.008	
73	2	44	00:10:20  1	80	-6.00	204.00	1.03	0.00	11.429	11.429	11.413	11.407	11.408	11.439	11.454	11.439	11.429	11.432	11.412	11.414	11.428	11.437	11.421	11.430	11.426	11.321	0.007	0.010	0.003	0.006	0.008	0.007	
74	2	44	00:10:31  1	80	-6.00	203.90	1.05	0.00	11.424	11.428	11.405	11.399	11.409	11.435	11.446	11.437	11.429	11.425	11.405	11.412	11.422	11.426	11.417	11.428	11.424	11.315	0.009	0.012	0.004	0.003	0.009	0.009	
75	2	44	00:10:41  1	80	-6.00	203.90	1.07	0.00	11.424	11.426	11.398	11.396	11.406	11.431	11.438	11.435	11.423	11.423	11.402	11.408	11.419	11.425	11.416	11.426	11.415	11.311	0.010	0.010	0.000	0.006	0.010	0.005	
76	2	44	00:10:50  1	80	-6.00	203.80	1.08	0.00	11.418	11.422	11.397	11.393	11.401	11.426	11.439	11.430	11.421	11.416	11.400	11.407	11.414	11.419	11.410	11.422	11.409	11.309	0.010	0.010	0.001	0.006	0.011	0.008	
77	2	44	00:11:01  1	80	-6.00	203.70	1.10	0.00	11.420	11.415	11.390	11.392	11.395	11.414	11.435	11.429	11.411	11.410	11.400	11.404	11.407	11.418	11.413	11.414	11.403	11.311	0.010	0.005	0.005	0.008	0.006	0.008	
78	2	44	00:11:11  1	80	-6.00	203.60	1.12	0.00	11.411	11.411	11.391	11.387	11.389	11.420	11.435	11.420	11.410	11.413	11.391	11.394	11.410	11.415	11.401	11.410	11.405	11.301	0.009	0.011	0.003	0.004	0.008	0.010	
79	2	44	00:11:20  1	80	-6.00	203.60	1.13	0.00	11.414	11.409	11.382	11.386	11.387	11.409	11.431	11.422	11.401	11.405	11.393	11.389	11.399	11.415	11.400	11.403	11.397	11.304	0.010	0.006	0.006	0.007	0.006	0.009	
80	2	44	00:11:31  1	80	-6.00	203.50	1.15	0.00	11.408	11.406	11.376	11.381	11.385	11.401	11.425	11.418	11.404	11.398	11.384	11.393	11.397	11.404	11.398	11.404	11.391	11.294	0.011	0.006	0.004	0.007	0.006	0.006	
81	2	44	00:11:41  1	80	-6.00	203.40	1.17	0.00	11.396	11.400	11.379	11.371	11.376	11.407	11.421	11.409	11.401	11.399	11.378	11.384	11.396	11.402	11.390	11.401	11.390	11.288	0.011	0.010	0.001	0.007	0.009	0.005	
82	2	44	00:11:50  1	80	-6.00	203.30	1.18	0.00	11.401	11.393	11.370	11.374	11.373	11.397	11.421	11.409	11.389	11.395	11.380	11.373	11.387	11.402	11.387	11.390	11.391	11.288	0.006	0.006	0.007	0.008	0.004	0.008	
83	2	44	00:12:01  1	80	-6.00	203.30	1.20	0.00	11.397	11.393	11.363	11.367	11.372	11.394	11.412	11.405	11.388	11.387	11.371	11.379	11.385	11.392	11.386	11.391	11.379	11.284	0.011	0.005	0.005	0.006	0.006	0.005	
84	2	44	00:12:11  1	80	-6.00	203.20	1.22	0.00	11.389	11.390	11.366	11.360	11.364	11.395	11.408	11.396	11.387	11.386	11.366	11.370	11.384	11.390	11.377	11.388	11.379	11.276	0.011	0.008	0.002	0.007	0.008	0.009	
85	2	44	00:12:20  1	80	-6.00	203.10	1.23	0.00	11.387	11.385	11.356	11.358	11.364	11.383	11.405	11.400	11.385	11.378	11.364	11.369	11.375	11.385	11.380	11.382	11.371	11.275	0.010	0.007	0.004	0.010	0.007	0.005	
86	2	44	00:12:31  1	80	-6.00	203.00	1.25	0.00	11.381	11.375	11.354	11.356	11.355	11.382	11.405	11.391	11.372	11.379	11.361	11.359	11.373	11.388	11.367	11.375	11.373	11.270	0.005	0.009	0.004	0.004	0.009	0.009	
87	2	44	00:12:41  1	80	-6.00	202.90	1.27	0.00	11.372	11.374	11.356	11.348	11.347	11.381	11.399	11.384	11.372	11.375	11.352	11.353	11.371	11.379	11.361	11.374	11.369	11.264	0.009	0.010	0.004	0.006	0.009	0.008	
